site,day_of_month,month,year,text,species,count
Turn Moss,15,March,2018,"Starling 90 ",Common Starling,90
Turn Moss,9,November,2017,"Starling - 17. ",Common Starling,17
Turn Moss,12,April,2017,"25+ starlings ",Common Starling,25
Turn Moss,5,November,2016,"75 starling ",Common Starling,75
Turn Moss,22,December,2014,"also c100 starling, 10 goldfinch. ",Common Starling,100
Turn Moss,12,January,2014," Merged flocks of 60 Redwings and 70 Starlings feeding together, a group of 20 Carrion Crows and c. 25 Common Gulls which is far fewer than is normal for this time of year. I looked but could see no other gulls - Black-headed Gulls in numbers and the occasional Lesser Black-Backed Gull are what I expect to see. ",Common Starling,60
Turn Moss,26,February,2013,"starlings, crows, magpies & jackdaws. ",Common Starling,X
Turn Moss,11,July,2012,"Starling 1 flock of c40 birds ",Common Starling,1
Turn Moss,10,July,2012,"25 Starling ",Common Starling,25
Turn Moss,12,April,2012,"28 starlings ",Common Starling,28
Turn Moss,26,February,2012,"jackdaws & starlings ",Common Starling,X
Turn Moss,22,January,2012," A very large flock of gulls on the playing fields today. Mostly the usual Black- headed kind but also a fair few Common Gulls and at least 7 Lesser Black-backed Gulls. There was a mixed flock of Starlings and Redwings (c. 12 7 24 respectively). ",Common Starling,7
Rye Bank Fields,16,September,2018,"Starling - 6. ",Common Starling,6
Heaton Park,12,July,2016," Birds seen today included Treecreeper, 2 Nuthatch, Stock Dove and a flock of 44 juv Starling feeding nr the hall ",Common Starling,2
Heaton Park,11,January,2014," Yesterday 150 Redwing near the tram stop entrance with a single Fieldfare and lots of Starlings 2 Buzzard north area of park lots of birds singing Great tit Mistle Thrush etc ",Common Starling,150
Heaton Park,11,September,2013,"Starling x 12. ",Common Starling,12
Heaton Park,17,June,2013," Nearly forgot-quite a lot of Starlings in evidence,mainly near lake car park. ",Common Starling,X
Heaton Park,4,January,2013,"Starling 6 ",Common Starling,6
Heaton Park,11,September,2012,"A flock of 200+ Starling were near the farm, a single airborne flock of 17 Mistle Thrush in the same area and a mixed flock of c20 finches - only Goldfinch and Greenfinch noted. Siskin(s) could be heard but not seen. A flock of 60+ hirundines feeding over the park appeared to be mostly House Martins. ",Common Starling,200
Heaton Park,2,September,2012,"Also 3 Cormorant and 3 Teal on the Boating Lake. A small flock of c15 Siskin were in the trees near the lake. I've heard small numbers flying over in various parts of GM for a good few weeks now but this is the first flock I have come across ""down"" recently. c25 Starling, c70 Swallow and c10 House Martin were feeding and resting near the farm. ",Common Starling,3
Heaton Park,26,April,2012,"Song Thrush, Mistle Thrush and 50+ Starling feed on flooded bowling green ",Common Starling,50
Heaton Park,12,March,2012,"1 single Starling ",Common Starling,1
Heaton Park,25,February,2012,"50 Starling ",Common Starling,50
Heaton Park,14,October,2011,"Starling 1125 w/sw ",Common Starling,1125
Heaton Park,29,April,2011,"Starling 34 ",Common Starling,34
Heaton Park,28,April,2011,"4 Starling ",Common Starling,4
Heaton Park,25,October,2010,"Starling 98 NW ",Common Starling,98
Heaton Park,20,October,2010,"Starling 52 W ",Common Starling,52
Heaton Park,17,October,2010,"Starling 363 WNW ",Common Starling,363
Heaton Park,28,October,2009,"not jotted up exact numbers and wont be able to get figures till later but about 1000 Feildfare flew over heaton park this morning along with 500+ Starling, 500+ Redwing, 100+ Woodpigeon, 5 Siskin, 21 Brambling, 3 Wigeon, female Pintail, 5 Goosander and 250 Pinkfeet ",Common Starling,1000
Heaton Park,20,October,2009,"Starling 129 W-NW ",Common Starling,129
Heaton Park,18,October,2009,"Starling 120 W-NW ",Common Starling,120
Heaton Park,14,October,2009,"Starling 37 west ",Common Starling,37
Heaton Park,11,October,2009,"Starling 35 west (several groups seen coming from out east) ",Common Starling,35
Heaton Park,30,October,2008,"Starling 57 w & n ",Common Starling,57
Heaton Park,18,October,2008,"Starling 19 W ",Common Starling,19
Mersey Vale Country Park,22,November,2015,"wrens, blackbirds, starlings, blue tits, great tits etc. ",Common Starling,X
Mersey Vale Country Park,19,November,2008,"starling ",Common Starling,X
Burnage Rugby Football Club,30,January,2016," A couple of spins along the river by Burnage Rugby Club on the way to and from Abney Hall Park, at about 930 and 1230. Nothing much on the way down, other than a smart Lesser Black-backed Gull and double figures of Common Gull amongst the Black-headeds feeding on the school playing fields. This is the most I have seen there. On the way back, a single drake Goosander, 2 Pied Wagtails on the bank in the middle of Grey Wagtail territory and best of all a nice flock of winter thrushes and Starlings on the football pitches. The sun was right on them and all the plumages looked fantastic. There were 7 Mistle Thrush, 8 or 9 Fieldfare and around 50 Redwings, plus 30 or so Starling. ",Common Starling,930
Burnage Rugby Football Club,9,January,2014," Walk after lunch today Goosander 10 (2m, 8f) Grey Heron 8 Magpie 33 Wood Pigeon Little Grebe Redwing (approx 150 - 180 on rugby club field mobile and flying to trees often hence approximation) Fieldfare 4 Mistle Thrush Song Thrush Blackbird Starling 20+ Cormorant 2 Black Headed Gull Common Gull Mallard Pied Wagtail Grey Wagtail Goldfinch Robin Moorhen Also a Mink which sat on floating log for some time, was still there when I left ",Common Starling,10
Burnage Rugby Football Club,16,January,2013,"Starling ",Common Starling,X
Burnage Rugby Football Club,5,May,2011,"20 Starlings feeding on school playing fields and flying off with beak fulls of food ",Common Starling,20
Longford Park,10,April,2017,"c.15 Starling ",Common Starling,15
Longford Park,9,April,2017,"1 Starling ",Common Starling,1
Longford Park,16,November,2016," Brief afternoon visit highlights: 1F Sparrowhawk, Great tits, Blue tits, Coal tits, Chaffinches, Goldfinches, 1 Grey wagtail (on waterlogged areas in disc golf area, patch tick) C.50 starlings again Redwings Mistle thrushes 1 great spotted woodpecker Plus all other usual gulls and garden birds Berries starting to seriously decrease in the area, so looking slim for a waxwing appearance. ",Common Starling,1
Longford Park,15,November,2016,"c.50 Starlings ",Common Starling,50
Longford Park,11,November,2016,"Starlings ",Common Starling,X
Longford Park,4,November,2016,"13 starlings ",Common Starling,13
Longford Park,4,November,2016," This morning: Redwing Mistle thrush Goldcrest Ring necked parakeet (patch first, wonder how long before they are in my garden!?) Blackbird Large numbers of Goldfinch Long tailed tit Blue tit Great tit Black headed gull Herring gull Sparrowhawk (over the rough grassland area next to the park) House sparrow Starling Dunnock Robin Wood pigeon Magpie Plenty to see everywhere I looked ",Common Starling,X
Longford Park,19,October,2016,"Starling ",Common Starling,X
Longford Park,28,September,2016,"Starling ",Common Starling,X
Longford Park,16,July,2016,"Starlings ",Common Starling,X
Longford Park,28,November,2015,"3 starling ",Common Starling,3
Longford Park,27,November,2015,"Starling ",Common Starling,X
Longford Park,26,November,2015,"c50 Starling ",Common Starling,50
Longford Park,20,November,2015,"Large flock of Starling ",Common Starling,X
Longford Park,20,November,2014,"Starling (2) ",Common Starling,2
Longford Park,24,November,2013,"again large numbers of redwings, several blackbirds & starlings on the old pitch & putt course. ",Common Starling,X
Longford Park,15,November,2013,"c100 starlings ",Common Starling,100
Longford Park,1,November,2013,"c70 starlings ",Common Starling,70
Longford Park,1,June,2012,"Starling 12 ",Common Starling,12
Longford Park,1,February,2012,"Starling ",Common Starling,X
Longford Park,13,December,2011,"50+ starlings ",Common Starling,50
Longford Park,27,September,2011," mistle thrushes/blackbirds/starlings/house sparrows ",Common Starling,X
Longford Park,15,April,2011," starling,blackbirds,robins,wrens,wood pigeons, ",Common Starling,X
Longford Park,14,April,2011," crow,magpie,starling,wood pigeon, ",Common Starling,X
Chorlton Park,30,April,2017," I've been doing the BBS survey around Southern Cemetrey/West Didsbury for 18 years now. Shocking decline in House Sparrows from around 20 down to just 2 today. On the plus side I've gained Ring-necked Parakeet (8 today) and Chiffchaff. Starlings seem to be hanging on with small groups around Cavendish Park and in the Cemetery. ",Common Starling,18
Chorlton Park,26,November,2016,"Also c30 starling, 5 redwing and 2 mistle thrush seen along Sandy Lane. ",Common Starling,30
Chorlton Park,27,March,2016," A pair of very busy nuthatch, two goldcrest (one singing) and a pair of bullfinch were the highlights of an hour or so in the park late this morning. A few starlings and jackdaw feeding on the playing fields, too. ",Common Starling,X
Chorlton Park,27,February,2016,"10+ starling ",Common Starling,10
Chorlton Park,29,November,2015,"20+ starling over ",Common Starling,20
Chorlton Park,22,December,2014,"c40 starling feeding on the ground near the football pitches ",Common Starling,40
Manchester Southern Cemetery,15,March,2016," A flock of 60 odd redwings on the football pitches. Also of note, 2 mistle thrushes, 3 blackbirds and 7 starlings. ",Common Starling,60
Stretford Meadows,2,September,2017,"Starling 20 over . ",Common Starling,20
Stretford Meadows,23,October,2015,"Starling c 200 in a mini - murmeration around a pylon adj. M60. ",Common Starling,200
Stretford Meadows,7,June,2010,"starlings (10, in a flock) ",Common Starling,10
Stretford Meadows,15,May,2010,"starling ",Common Starling,X
Fog Lane Park,15,March,2018," Mandarin Duck x 2 Canada Geese x 20 Mallard x 20 Redwing x 50 Starling x 20 Parakeets x 10 roosting around the nesting site ",Common Starling,2
Fog Lane Park,13,March,2018," Mandarin duck on the pond last night, went back this morning with my camera but no sign, Other birds today:- Ring-necked Parakeets - 3 in the tree that they have previously nested in, plus another couple around on the pond Mallard - 20+ Canada Geese - 20+ very noisy Coot - 6 Moorhen -6 Large flocks of Magpies, woodpigeon, Starlings & Black-headed gullls + the usual small birds ",Common Starling,3
Fog Lane Park,17,February,2014,"60 Starlings ",Common Starling,60
Fog Lane Park,16,December,2013,"redwings all around the park feeding on the berries on the trees & on the ground with blackbirds, mistle thrushes, starlings & goldfinches. ",Common Starling,X
Fog Lane Park,6,February,2013,"50+ Starling ",Common Starling,50
Fog Lane Park,25,February,2012," male & female both in nest hole yesterday afternoon. Plenty of Redwings about too and several mistle thrushes. Has anyone else noticed how the Starling in the park are mimicing the parakeets? Several convincing parakeet calls were traced to groups of Starlings!!! ",Common Starling,X
Fog Lane Park,21,January,2012,"c30 Starling ",Common Starling,30
Fog Lane Park,11,April,2011,"20 Starlings ",Common Starling,20
Fog Lane Park,10,March,2011,"100+ Starlings ",Common Starling,100
Fog Lane Park,25,February,2011,"45 Starling ",Common Starling,45
Fog Lane Park,24,February,2011,"Starling - 6 ",Common Starling,6
Fog Lane Park,19,February,2011,"30+ Starling ",Common Starling,30
Fog Lane Park,17,February,2011,"30 Starling ",Common Starling,30
Fog Lane Park,14,February,2011,"60+ Starling ",Common Starling,60
Hough End Leisure Centre,19,February,2016,"Starling ",Common Starling,X
Hough End Leisure Centre,6,February,2016,"Starling, again well over 100 ",Common Starling,100
Hough End Leisure Centre,18,September,2015,"- Starling - 2 large groups around, both consisting of 100+ birds, mainly near the main building and car park ",Common Starling,2
Hough End Leisure Centre,15,September,2015,"170c starlings ",Common Starling,170
Hough End Leisure Centre,11,September,2015,"100+ starling ",Common Starling,100
Hough End Leisure Centre,11,September,2015,"Mostly same birds as yesterday but also some Lesser Black-backed Gulls present too, and around 100 Starling in the blackberry bush near car park. ",Common Starling,100
Hough End Leisure Centre,10,September,2015,"- Starling - group of around 40-50 ",Common Starling,40
Hough End Leisure Centre,9,September,2015,"30+ starlings ",Common Starling,30
Hough End Leisure Centre,9,September,2015,"100+ starlings ",Common Starling,100
Platt Fields Park,24,January,2010,"On the short grassland around the lake was a mixed flock of thrushes, collecting plenty of earthworms - c80 Redwing, c35 Starling, 4 Fieldfare and 1 Mistle Thrush. In different parts of the park there were another 4 Mistle Thrush - 2 pairs. Also 3 Nuthatch - a pair, with a single bird in another part of the park. 7 Greenfinch and 8 Common Gulls also noted. ",Common Starling,80
Platt Fields Park,18,April,2009,"Starling c40 ",Common Starling,40
Platt Fields Park,15,April,2009,"30+ starlings ",Common Starling,30
Platt Fields Park,28,February,2009,"Redwings 73 on large field near church with 3 Mistle Thrush and 50 Starlings ",Common Starling,73
Platt Fields Park,15,December,2008," Loads about in the park today (34 species in total), especially on the lake compared to yesterday when it was quite quiet. The pair of shovelers were back after a few days absence, tufted ducks were up from 41 to 45 and included 3 male pochards that were new in today. Lots more redwings, starlings and greenfinches than usual as well as 2 male bullfinch by the lake and a pair of nuthatches near the chapel entrance. ",Common Starling,34
Platt Fields Park,4,April,2008,"Starling 4 ",Common Starling,4
Platt Fields Park,7,March,2008,"Starling c50 ",Common Starling,50
Debdale Park/Gorton Reservoir,21,July,2009,"Starlings 30+ in the garden and around ",Common Starling,30
Debdale Park/Gorton Reservoir,8,July,2009," My fiance has just moved into a housing association house in Abbey Hey within about 100yds of Gorton Res until we decide where we are going to live. A Sparrowhawk was chased by a flock of Starlings right past the kitchen window this morning and 20 unidentifed waders seen from the garden (without bins) flew E presumably to Audenshaw and 2 bats circled over the garden every night this weekend at dusk. Exciting possibilities! The garden list has started well. I am training her to birdwatch! Just put my name down on the Audenshaw waiting list too but I'm told it's 'dead-man's-shoes' now. Does anyone know if there a site list for Gorton Res./Debdale Park? ",Common Starling,100
Clowes Park,30,June,2013,"starlings ",Common Starling,X
Clowes Park,19,May,2013,"5 starling ",Common Starling,5
Clowes Park,31,July,2010,"In nearby Mandley Park - at least 16 Mistle Thrush, including juvenile birds feeding in bird cherry trees. A family party of Goldfinch. Male Blackbird carrying food. An independent juvenile Great Spotted Woodpecker. c80 Starlings. ",Common Starling,16
Drinkwater Park,14,June,2010,"46 species recorded on this late visit - same number as the early visit although they were not the same set of species on both visits. Highlights included a female Mallard with 9 well-grown ducklings on the Irwell, a pair of Grey Wagtail with a single fledged juvenile, a family party of Whitethroat including a minimum of 2 begging juveniles, family parties of 6,6 and 5 for Coot, Goldfinch with independently feeding juveniles, a brief sighting of a single Treecreeper with a single juvenile, a female Great Spotted Woodpecker feeding a single juvenile. Fledged Jackdaws and I have never, ever been so pleased before to see a Starling visiting a nest site and be able to confirm breeding for this species here........at last! Plenty of juvenile Woodpigeons and 3 independent juvenile Pied Wagtails feeding on the mud on the Irwell. Also 4 Cormorants, Nuthatch, Little Grebe, Great Crested Grebe, and several species of warbler and hirundine. ",Common Starling,46
Drinkwater Park,9,April,2010,"A beautiful morning to be out and there was plenty to look at. 46 species recorded over the 2 hours - could have been even higher as there was no Nuthatch, hirundines, Kingfisher and not even a single Starling! Highlights were a Green Sandpiper - presumably the one that was seen below Agecroft Bridge on 21/1 and 26/1 this year but thankfully this morning upstream of the bridge and in my square! Also a pair of Gadwall, a pair of Stock Doves, a Buzzard, 5 singing Blackcaps - some showing well - 1 was seen eating ivy berries. The area is very good for Song Thrush and several pairs were seen. ",Common Starling,46
"Victoria Park, Stretford",19,January,2015,"20+ Starling ",Common Starling,20
"Victoria Park, Stretford",12,January,2015,"Small party of Starling with 4 Redwing along for the craic ",Common Starling,4
"Victoria Park, Stretford",29,September,2014,"Starling - 11 ",Common Starling,11
Reddish Vale Country Park,23,January,2019," A short hour visit today from around noon along the ponds near the visitor centre. There was no sign of the Little Egret however lots of other observations; Canada Goose c200 Coot Moorhen Tufted Duck Pochard x 1 male Mallard Mandarin x 9 Great Crested Grebe Black Headed Gull x 21 Woodpigeon Collared Dove Magpie Carrion Crow Dunnock Robin House Sparrow Chaffinch Wren Starling Blackbird Blue Tit Reed Bunting x 2 Ring Necked Parakeet x 2 I was informed that there was a flock of Redwing c130 in a field along the track, ",Common Starling,200
Reddish Vale Country Park,5,December,2012,"40 Starling ",Common Starling,40
Reddish Vale Country Park,6,February,2012,"190 Starling ",Common Starling,190
Reddish Vale Country Park,1,February,2012,"90 Starlings ",Common Starling,90
Reddish Vale Country Park,17,January,2012,"70 Starlings ",Common Starling,70
Reddish Vale Country Park,15,March,2008,"20+ starlings, flock ",Common Starling,20
Reddish Vale Country Park,20,February,2008,"starlings, ",Common Starling,X
Worsley Woods,18,March,2018," Just had a murmuration of about 500 starling over edenfield lane before they flew over the motorway and dropped into the filtration lagoons ",Common Starling,500
Worsley Woods,7,March,2017," Yesterday evening c. 6pm 600+ Starlings murmurating (if that's the right term?!) over the filtration beds, watched whilst sat in traffic and small flocks arriving all the time. ",Common Starling,6
Worsley Woods,2,December,2016," On the flooded field north off Grange road this am, 2 immature Mute Swan 31+ pied wagtail Single lapwing Black headed Gulls and Starlings in good numbers and birds arriving all the time. 2 Buzzard on Pylon near filtration lagoons. ",Common Starling,2
Worsley Woods,24,March,2015,"starling 4 ",Common Starling,4
Worsley Woods,3,April,2014,"Starling flockx20+ ",Common Starling,20
Worsley Woods,4,May,2013,"Starling 20 ",Common Starling,20
Worsley Woods,2,May,2013,"Starling 2 ",Common Starling,2
Worsley Woods,6,May,2011,"40. Starling (26) ",Common Starling,40
Worsley Woods,22,April,2011,"Starling (10) ",Common Starling,10
Worsley Woods,10,March,2011,"starling displaying ",Common Starling,X
Worsley Woods,6,March,2011,"A starling was displaying above the lagoons for the whole time i was there ",Common Starling,X
Worsley Woods,30,January,2011,"Also in the farmers field were 89 lapwing and at least twice as many starling ",Common Starling,89
Worsley Woods,1,January,2011,"starling ",Common Starling,X
Worsley Woods,3,June,2010,"plenty starling ",Common Starling,X
Worsley Woods,31,May,2010,"15+ starling ",Common Starling,15
Worsley Woods,6,January,2010,"1 sparrowhawk troubling 30+ starlings, 2 chaffinch and some jackdaws ",Common Starling,1
Clayton Vale,18,October,2015,"Starling ",Common Starling,X
Clayton Vale,10,May,2015,"Starling ",Common Starling,X
Clayton Vale,30,November,2006," 30+ Redwing - 20+ Long Tail Tit - 50+ Starlings - 1 Kestrel - 5 Dippers ",Common Starling,30
Boggart Hole,20,September,2012,"20 Starlings, some mingling in with gulls/Woodpigeons here ",Common Starling,20
Boggart Hole,21,May,2011,"Nearby David Lewis rec had an unidentifiable number of Starling which were feeding before being scattered by nagging Thrushes and Magpies. I see good numbers in all local parks (In reference to the 'Where have all the Starlings gone' thread) ",Common Starling,X
Boggart Hole,20,December,2010,"2 starlings ",Common Starling,2
Boggart Hole,19,December,2010,"4 starlings, ",Common Starling,4
Boggart Hole,15,June,2010,"A major surprise and the main highlight was coming across a species that I have not even recorded in this square before - Reed Bunting - and then to be able to confirm breeding, with both adults watched carrying food into a low level nest site. A single independent juvenile Great Spotted Woodpecker was seen and a male Blackcap was feeding at least 1 begging, wing-shivering juvenile. Also Little Grebe, Stock Dove, Nuthatch, Grey Heron and Goldcrest. About 150 Canada Geese around the lake. It was nice to see good numbers of House Sparrows and Starlings around the areas of housing. ",Common Starling,1
"Philips Park, Prestwich",23,November,2011,"Starlings 5 ",Common Starling,5
Ashton Moss,24,May,2018,"c30 Starling collecting food ",Common Starling,30
Ashton Moss,21,September,2016,"200+ Starling ",Common Starling,200
Ashton Moss,29,December,2015,"c40 Starlings ",Common Starling,40
Ashton Moss,16,October,2015," 2 Common Gull on the Leisure Park roundabout late afternoon along with c20 Starling. ",Common Starling,2
Ashton Moss,2,September,2015," Nine Pied Wagtail and 18 Starling on the leisure park roundabout this afternoon ",Common Starling,18
Ashton Moss,19,September,2014,"Up to 100 Starling present in small flocks ",Common Starling,100
Ashton Moss,3,September,2014,"200+ Starlings spooked the 15 Lapwing which were on the roof of Car People ",Common Starling,200
Ashton Moss,23,August,2014,"28 Lapwing and 2 Starling on roof of Car People ",Common Starling,28
Ashton Moss,20,June,2012,"c10-20 Starling ",Common Starling,10
Ashton Moss,13,June,2012,"Loads of Starlings all over the place ",Common Starling,X
Ashton Moss,31,August,2010,"30+ starlings ",Common Starling,30
Ashton Moss,26,May,2010,"starling inc a flock of around 300 ",Common Starling,300
Ashton Moss,15,April,2010,"10 Starling ",Common Starling,10
Ashton Moss,31,March,2010,"100+ starlings & 14 lapwings flew from car people to moss, wish I'd seen what spooked them ",Common Starling,100
Ashton Moss,27,March,2010,"50 starlings ",Common Starling,50
Ashton Moss,17,March,2010,"60+ starlings ",Common Starling,60
Ashton Moss,24,December,2009,"magpie, canada geese (85+), kestrel (2) starlings, blackbirds, greenfinch, carrion crow, B.H.gull, wren, herring gull, collard dove robin, goldfinch, long tailed tit (20+) great tit, mistle thrush. ",Common Starling,85
Ashton Moss,11,October,2009,"chiffchaff (calling in trees near richmond st entrance),starling,magpie,carrion crow,goldfinch, redwing(6),moorhen,GBBgull,LBBgull,BHgull,herring gull,willow warbler. ",Common Starling,6
Ashton Moss,31,August,2009,"100 + starlings everyday ",Common Starling,100
Ashton Moss,30,August,2009," walked round sheldon pool 9 am 7 mallard, numerous starlings 50+ feral pigeons 106 lapwings on roof of car people gulls flying all over nothing out of the ordinary ",Common Starling,9
Ashton Moss,12,July,2009,"6 canada geese, 78 lapwing grey heron mallard, b.h.gull starling ",Common Starling,6
Ashton Moss,17,May,2009,"Starling ",Common Starling,X
Ashton Moss,3,May,2009,"blackbird, greenfinch, starling, wren, swift (over garden centre), goldfinch, robin, collard dove, song thrush, blue tit ",Common Starling,X
Ashton Moss,26,April,2009,"Starling ",Common Starling,X
Ashton Moss,20,April,2009,"2 starlings ",Common Starling,2
Ashton Moss,15,April,2009," driving home down lord sheldon way @ approx 4.15 (dont tell the boss) and starlings jackdaws wood pigeons and lapwings all shot up had to stop at the lights at the turning and saw my first peregrine in Ashton let alone local patch ",Common Starling,4
Ashton Moss,14,April,2009,"24+ starlings ",Common Starling,24
Ashton Moss,12,April,2009,"Starling ",Common Starling,X
Ashton Moss,6,April,2009,"skylark, woodpigeon (50+), ringed plover, starling, ",Common Starling,50
Ashton Moss,15,March,2009,"Starling ",Common Starling,X
Ashton Moss,7,March,2009,"Starling ",Common Starling,X
Ashton Moss,14,February,2009,"Starling ",Common Starling,X
Ashton Moss,6,February,2009,"Starling ",Common Starling,X
Ashton Moss,1,February,2009,"Starling ",Common Starling,X
Ashton Moss,10,August,2008,"Starling ",Common Starling,X
Queen's Park,16,April,2012,"2 F Greenfinch, a Robin pulling worms and three M Blackbirds was a nice Motley Crew in one corner of the park where the grass had been mowed. There were many Chiffchaffs (1 seen) singing and quite a lot of Blackcaps, although none were seen. 4-5 Mistle Thrush, Song Thrush doing what it does best, 10 Starling, all the usual Tits. ",Common Starling,2
Debdale Park,21,July,2009,"Starlings 30+ in the garden and around ",Common Starling,30
Debdale Park,8,July,2009," My fiance has just moved into a housing association house in Abbey Hey within about 100yds of Gorton Res until we decide where we are going to live. A Sparrowhawk was chased by a flock of Starlings right past the kitchen window this morning and 20 unidentifed waders seen from the garden (without bins) flew E presumably to Audenshaw and 2 bats circled over the garden every night this weekend at dusk. Exciting possibilities! The garden list has started well. I am training her to birdwatch! Just put my name down on the Audenshaw waiting list too but I'm told it's 'dead-man's-shoes' now. Does anyone know if there a site list for Gorton Res./Debdale Park? ",Common Starling,100
Hullard Park,4,February,2011,"Starling 16 ",Common Starling,16
Winton Park,8,January,2017,"Starling x 8 ",Common Starling,8
Winton Park,12,November,2016,"Starling x 10 ",Common Starling,10
Winton Park,6,August,2016,"Starling x 20 ",Common Starling,20
Winton Park,26,June,2016,"Also, male Bullfinch, Chaffinch, Starling and Carrion Crow. ",Common Starling,X
Winton Park,22,May,2016,"Starling x 30 ",Common Starling,30
Winton Park,20,March,2016,"Starlings x 25 ",Common Starling,25
Winton Park,27,February,2016,"Starlings x 20 ",Common Starling,20
Winton Park,21,February,2016,"Starlings x 15 ",Common Starling,15
Winton Park,14,February,2016,"Starlings x 15 ",Common Starling,15
Winton Park,7,February,2016,"Starlings x 15 ",Common Starling,15
Winton Park,6,February,2016,"Starlings x 20 ",Common Starling,20
Winton Park,24,January,2016,"Starlings x 20 ",Common Starling,20
Winton Park,17,January,2016,"Starlings x 15 ",Common Starling,15
Winton Park,16,January,2016,"Starlings x 15 ",Common Starling,15
Winton Park,3,January,2016,"Starlings x 10 ",Common Starling,10
Winton Park,27,December,2015,"Starlings x 10 ",Common Starling,10
Winton Park,28,November,2015,"Starlings x 10 ",Common Starling,10
Winton Park,22,November,2015,"Starling x 30 ",Common Starling,30
Winton Park,26,September,2015,"Starlings x 10 ",Common Starling,10
Winton Park,16,August,2015,"Starlings ",Common Starling,X
Winton Park,2,August,2015,"Starlings x 50 ",Common Starling,50
Winton Park,26,July,2015,"Starlings ",Common Starling,X
Winton Park,12,July,2015,"Starling ",Common Starling,X
Winton Park,7,June,2015,"Starlings with young x lots ",Common Starling,X
Winton Park,31,May,2015,"Starlings x 50 (with many juveniles) ",Common Starling,50
Winton Park,24,May,2015,"Starlings ",Common Starling,X
Winton Park,10,May,2015,"Starlings ",Common Starling,X
Winton Park,25,April,2015,"Starlings ",Common Starling,X
Winton Park,11,April,2015,"Starlings x 3 ",Common Starling,3
Winton Park,4,April,2015,"Starlings x lots ",Common Starling,X
Winton Park,7,March,2015,"Starlings ",Common Starling,X
Winton Park,28,February,2015,"Starlings ",Common Starling,X
Winton Park,22,February,2015,"Starlings x 15 (field between Park and School) ",Common Starling,15
Winton Park,21,February,2015,"Starling ",Common Starling,X
Winton Park,14,February,2015,"Starlings x 15 ",Common Starling,15
Winton Park,1,February,2015,"Starlings x 20 ",Common Starling,20
Winton Park,17,January,2015,"Starling x 20 ",Common Starling,20
Winton Park,15,November,2014,"Starling ",Common Starling,X
Winton Park,31,August,2014,"Starlings ",Common Starling,X
Winton Park,31,May,2014,"Starling x lots ",Common Starling,X
Winton Park,25,May,2014,"Starlings feeding young on bowling green ",Common Starling,X
Winton Park,24,May,2014,"Starlings feeding lots of young on bowling green ",Common Starling,X
Piccadilly Gardens,9,March,2012," As a kid my dad used to take me to Piccadilly Gardens to see the Starling roost, its a shame that spectacle is no longer with us. Now over the years, working in and around Manchester, I wonder just what the town centre recorded list is ? and how often do we get a new town centre bird.? ",Common Starling,X
Brookdale Park,24,May,2011,"Fledged House Sparrows and Starlings. Disappointingly a feeding flock of c110 Starlings appeared to consist of only about 20% juvenile birds. Wonder if the earlier prolonged dry spell has had an effect on this species breeding productivity this year? ",Common Starling,110
Cringle Fields Park,16,June,2011,"c80 Starlings - very few juvs so far ",Common Starling,80
Alexandra Park,4,April,2009,"Jackdaw 10 ",Jackdaw,10
Alexandra Park,29,March,2009,"5 poss crows (1 huge one definately raven) several blackbirds (no jackdaw). ",Jackdaw,5
Alexandra Park,20,March,2009,"Jackdaw 1 ",Jackdaw,1
Alexandra Park,7,April,2008,"Jackdaw 2 ",Jackdaw,2
Sale Water Park,3,November,2018," Gulls BH Gull 240 LBB Gull 8 Herring Gull 3 Common Gull 4 Ducks Mallard 38 Gadwall 24 Tufted 5 Teal 18 Shoveler 1 Herons 7 Cormorants 11 Corvids Crows Rook Jackdaw Woodpigeon 49 Collared Dove 10 Ring Necked Parakeet 5 Blackbird, Song Thrush, Redwing Robins Blue tit Great Tit Coal tit Long Tailed tit Willow tit Nuthatch, Great spotted woodpecker , Treecreeper Goldcrest Goldfinch Chaffinch Greenfinch , Dunnocks and Sparrows Kestrel Buzzard. Moorhen, Coots, Little grebe . Nature is ace Keep Birding ",Jackdaw,240
Sale Water Park,10,March,2018," Mute Swan Canada Geese Mallard Tufted duck Gadwall Teal Gulls BH Gull Herring Gull LBB Gull Grebes Great Crested and Little Tits Blue Great Willow Long Tailed Corvids Crow Jackdaw Rook Magpie Jay Goosanders Snipe Herons and Cormorants. Wren Dunnock Goldcrest Blackbird Song Thrush Mistle Thrush Redwing Great Spotted Woodpecker. Finches Chaffinch Goldfinch Keep Birding ",Jackdaw,X
Sale Water Park,31,December,2017," Sunday Morning 9.30-12.30 Visitor centre area Willow tit x1 GS Woodpecker x2 Nuthatch x1 Great tit x5 Blue Tit x4 Main Lake B H Gull 218 Common Gull 18 Lesser Black backed Gull x9 Herring Gull x 2 Cormorants x 13 Canada Goose 27 Mute Swan x12 Great Crested Grebe x6 Little Grebe x 2 Gadwall x23 Mallard x 29 Goosander x1 Coots x30 Moorhen x 4 Kingfisher x2 Wood pigeon x 30 Feral pigeon x11 Broad ees dole Teal x 15 Buzzard x2 Blackbird x 1 Mistle Thrush x 2 Robins x9 Jackdaw x 5 Crow x 18 Well thats about it for 2017 planing to do a few more Mersey Valley update in 2018 and find something good ... Keep Birding ",Jackdaw,9
Sale Water Park,26,February,2017,"A blanket of c 300 jackdaw on the field at dusk as they headed towards evening roost. ",Jackdaw,300
